Wikidata_QID,English_Label,Num_Languages,Total_Views_All_Langs,Languages,Top5_Languages_Detail
Q182207,Coitus interruptus,2,3749116,"ja, ur","ja:#19(3,728,574); ur:#35(20,542)"
Q2211650,Sadomasochism,2,3430822,"ar, fa","fa:#44(1,935,652); ar:#39(1,495,170)"
Q338857,Minamata disease,2,3118379,"ja, pms","ja:#33(3,117,686); pms:#47(693)"
Q18657,Dissociative identity disorder,2,2858175,"ja, tok","ja:#35(2,858,161); tok:#29(14)"
Q838966,Irritable bowel syndrome,2,2730307,"ar, gpe","ar:#7(2,727,397); gpe:#7(2,910)"
Q2919015,Magdi Yacoub,2,2511993,"ar, arz","ar:#12(2,289,083); arz:#3(222,910)"
Q1412895,Penile fracture,2,2482906,"fa, zu","fa:#22(2,481,866); zu:#41(1,040)"
Q256602,Ciprofloxacin,2,2459976,"azb, fa","fa:#24(2,455,990); azb:#30(3,986)"
Q1070684,Ketogenic diet,2,2202617,"zh, zh-yue","zh:#26(2,170,067); zh-yue:#23(32,550)"
Q168161,Zbigniew Religa,2,2136494,"pl, szl","pl:#12(2,134,941); szl:#17(1,553)"
Q1142751,Norovirus,2,1809908,"no, zh","zh:#48(1,641,567); no:#46(168,341)"
Q327988,Occupational burnout,2,1680446,"mzn, pt","pt:#30(1,678,979); mzn:#37(1,467)"
Q1154321,Tonsil stones,2,1200744,"ko, sv","sv:#11(813,413); ko:#42(387,331)"
Q939018,Intubation,2,1126697,"sr, tr","tr:#18(940,806); sr:#49(185,891)"
Q694554,Emergency telephone number,2,1115370,"id, ko","id:#40(672,610); ko:#28(442,760)"
Q629029,Occupational safety and health,2,942433,"id, rue","id:#21(939,650); rue:#27(2,783)"
Q73984,Disinfectant,2,917234,"id, uz","id:#37(732,630); uz:#28(184,604)"
Q190161,Streptococcus,2,799554,"cs, sq","cs:#37(641,713); sq:#40(157,841)"
Q463478,Aletta Jacobs,2,793107,"nds-nl, nl","nl:#40(785,354); nds-nl:#5(7,753)"
Q52849,Ankylosing spondylitis,2,776214,"cs, no","cs:#44(603,040); no:#43(173,174)"
Q188724,Nonsteroidal anti-inflammatory drug,2,658470,"hy, vi","vi:#26(531,743); hy:#41(126,727)"
Q270673,Personality disorder,2,612682,"cs, sc","cs:#43(611,557); sc:#47(1,125)"
Q215620,Heart valve,2,552030,"bs, th","th:#25(426,390); bs:#8(125,640)"
Q745865,Trichomoniasis,2,443136,"hu, tk","hu:#41(433,628); tk:#38(9,508)"
Q162272,Viral hemorrhagic fever,2,427578,"ts, vi","vi:#40(427,431); ts:#26(147)"
Q161393,Influenza A virus subtype H1N1,2,340545,"el, gan","el:#46(338,568); gan:#30(1,977)"
Q189389,Aneurysm,2,321575,"bg, pam","bg:#41(320,419); pam:#49(1,156)"
Q273510,Candidiasis,2,310929,"bg, lg","bg:#44(306,708); lg:#8(4,221)"
Q376666,Cholecystitis,2,297162,"kaa, kk","kk:#31(296,944); kaa:#24(218)"
Q977090,Vaginal yeast infection,2,286449,"hy, tw","hy:#6(285,909); tw:#42(540)"
Q3706669,Psychoactive drug,2,244347,"sk, tok","sk:#20(244,306); tok:#5(41)"
Q631173,List of plants used in herbalism,2,236760,"az, or","az:#27(223,822); or:#6(12,938)"
Q1147899,Road safety,2,222195,"fj, ta","ta:#26(222,037); fj:#19(158)"
Q2995419,Contagious disease,2,213328,"bew, bn","bn:#45(213,085); bew:#12(243)"
Q168800,Anaphylaxis,2,205023,"tl, yo","tl:#24(199,960); yo:#8(5,063)"
Q154878,Toxoplasmosis,2,203688,"km, sk","sk:#30(201,553); km:#42(2,135)"
Q160649,Typhus,2,200150,"ps, sr","sr:#45(194,554); ps:#22(5,596)"
Q167191,Child abuse,2,198276,"af, si","si:#5(133,574); af:#46(64,702)"
Q466060,The Canon of Medicine,2,190133,"tg, uz","uz:#32(181,439); tg:#44(8,694)"
Q209733,Myalgic encephalomyelitis/chronic fatigue syndrome,2,189924,"is, no","no:#36(178,109); is:#25(11,815)"
Q68833,Bone fracture,2,187395,"ckb, uz","uz:#34(177,510); ckb:#50(9,885)"
Q1542839,Glomerular filtration rate,2,186991,"bs, sl","bs:#15(104,027); sl:#40(82,964)"
Q186161,Ionizing radiation,2,183804,"lt, om","lt:#20(180,818); om:#20(2,986)"
Q274493,Antiseptic,2,173472,"bar, uz","uz:#37(171,028); bar:#39(2,444)"
Q147778,Cirrhosis,2,170197,"ace, uz","uz:#40(167,326); ace:#5(2,871)"
Q1458579,University of Putra Malaysia,2,157265,"dtp, ms","ms:#41(157,137); dtp:#10(128)"
Q188605,Emphysema,2,150586,"nn, simple","simple:#37(133,263); nn:#8(17,323)"
Q827023,Lesion,2,143737,"bs, eo","bs:#4(137,176); eo:#29(6,561)"
Q987664,Delusions of grandeur,2,137347,"nn, simple","simple:#38(129,715); nn:#39(7,632)"
Q506652,Pyelonephritis,2,125322,"mk, my","mk:#32(83,860); my:#17(41,462)"
Q132621,Adrenaline,2,108346,"bh, sh","sh:#32(105,034); bh:#27(3,312)"
Q1194557,Laryngitis,2,107088,"as, mk","mk:#22(97,981); as:#40(9,107)"
Q183560,Intellectual disability,2,105659,"bs, ff","bs:#14(105,464); ff:#20(195)"
Q861699,Herbal medicine,2,104696,"diq, kn","kn:#10(102,606); diq:#37(2,090)"
Q749115,Postpartum period,2,96647,"ky, sd","ky:#16(95,471); sd:#46(1,176)"
Q1430548,Effects of climate change,2,95841,"gu, kn","kn:#16(71,352); gu:#37(24,489)"
Q183425,Abdominal pain,2,76393,"ha, mk","mk:#48(69,139); ha:#18(7,254)"
Q689985,Lipoma,2,74979,"bs, io","bs:#36(69,492); io:#8(5,487)"
Q107244,Monocyte,2,66875,"lv, nds","lv:#25(61,017); nds:#18(5,858)"
Q849032,Organ donation,2,66674,"anp, te","te:#45(66,148); anp:#25(526)"
Q7416997,Sanduk Ruit,2,64956,"mai, ne","ne:#1(63,831); mai:#27(1,125)"
Q215210,Dietary fiber,2,61707,"et, lo","et:#32(61,482); lo:#48(225)"
Q864088,Female condom,2,61583,"diq, sw","sw:#45(59,279); diq:#30(2,304)"
Q537297,Heartburn,2,55593,"bjn, sw","sw:#49(53,870); bjn:#33(1,723)"
Q6627854,List of medical roots and affixes,2,53224,"lfn, ur","ur:#7(51,596); lfn:#34(1,628)"
Q319146,Ibn al-Nafis,2,49525,"arz, skr","arz:#17(49,276); skr:#14(249)"
Q1628262,Hormonal intrauterine device,2,48019,"lv, mad","lv:#47(47,843); mad:#47(176)"
Q929737,Liver disease,2,44736,"tg, tk","tk:#17(24,652); tg:#16(20,084)"
Q23797,Contact lens,2,32974,"nds-nl, sco","sco:#2(31,639); nds-nl:#22(1,335)"
Q190512,Tear gas,2,32125,"ban, zh-yue","zh-yue:#25(31,826); ban:#39(299)"
Q88965331,Moncef Slaoui,2,29547,"ary, shi","ary:#1(28,171); shi:#5(1,376)"
Q185325,Cardiopulmonary resuscitation,2,29141,"se, zh-yue","zh-yue:#29(28,401); se:#33(740)"
Q275419,Hypotension,2,27548,"bpy, zh-yue","zh-yue:#33(27,092); bpy:#10(456)"
Q156102,Smegma,2,27423,"bar, zh-yue","zh-yue:#44(20,840); bar:#9(6,583)"
Q842428,Ascariasis,2,26599,"dag, so","so:#1(25,550); dag:#25(1,049)"
Q105434,Hypochondriasis,2,26220,"ast, nds","ast:#31(13,645); nds:#1(12,575)"
Q2085267,Pharyngitis,2,26154,"km, nn","nn:#5(19,498); km:#24(6,656)"
Q311495,Al-Zahrawi,2,25167,"skr, ur","ur:#25(24,317); skr:#2(850)"
Q77128,Ruth Pfau,2,22570,"skr, ur","ur:#29(22,504); skr:#28(66)"
Q61335,Pre-eclampsia,2,20449,"arz, mad","arz:#31(20,234); mad:#33(215)"
Q3632356,John Gilchrist (linguist),2,20429,"skr, ur","ur:#39(19,711); skr:#4(718)"
Q6673122,Thyroid disease,2,19397,"as, pa","as:#29(11,805); pa:#29(7,592)"
Q650766,Tinea capitis,2,17857,"bjn, nia","bjn:#2(17,627); nia:#24(230)"
Q83873573,COVID-19 pandemic in Nepal,2,17694,"mai, ne","ne:#17(16,914); mai:#40(780)"
Q143252,Polytetrafluoroethylene,2,16998,"azb, cv","cv:#1(13,252); azb:#34(3,746)"
Q926462,Tinea versicolor,2,16263,"bcl, bjn","bjn:#5(9,790); bcl:#17(6,473)"
Q463891,Virginia Apgar,2,14774,"be, mg","be:#4(13,452); mg:#42(1,322)"
Q4833866,B. P. Koirala Institute of Health Sciences,2,14172,"dty, ne","ne:#27(12,408); dty:#18(1,764)"
Q974135,Chemotherapy,2,13607,"diq, gl","gl:#14(11,723); diq:#39(1,884)"
Q1122544,DrugBank,2,13600,"bar, frr","bar:#8(6,869); frr:#3(6,731)"
Q4027534,Sucrose,2,12641,"frr, nn","nn:#19(10,737); frr:#32(1,904)"
Q190875,Cortisol,2,11702,"cv, is","is:#35(10,450); cv:#42(1,252)"
Q216935,Lidocaine,2,11426,"lij, nn","nn:#17(10,884); lij:#44(542)"
Q184084,Thiamine deficiency,2,11266,"fo, sco","sco:#30(5,641); fo:#14(5,625)"
Q211509,Oseltamivir,2,11198,"oc, zh-min-nan","zh-min-nan:#13(5,802); oc:#29(5,396)"
Q58702,Mortality rate,2,11124,"ne, wa","ne:#50(9,289); wa:#50(1,835)"
Q251347,Haloperidol,2,10915,"bar, cy","cy:#32(5,472); bar:#17(5,443)"
Q978237,Giuseppe Pitrè,2,10595,"nap, scn","scn:#4(9,904); nap:#16(691)"
Q88027839,List of deaths due to COVID-19,2,10571,"bjn, ts","ts:#5(8,386); bjn:#27(2,185)"
Q19275831,Choking,2,9433,"am, km","am:#35(6,741); km:#37(2,692)"
Q816422,Dysmenorrhea,2,9036,"as, tw","as:#44(8,364); tw:#28(672)"
Q192102,Skin cancer,2,8673,"ha, rw","ha:#31(4,970); rw:#17(3,703)"
Q143925,Toothache,2,8080,"lg, tk","tk:#46(7,350); lg:#38(730)"
Q81166,Mustard gas,2,7794,"vls, zh-classical","vls:#3(6,041); zh-classical:#45(1,753)"
Q333203,Weaning,2,6905,"jv, mad","jv:#30(6,047); mad:#9(858)"
Q180614,Melanoma,2,6661,"cy, mai","cy:#25(5,990); mai:#45(671)"
Q855523,Denatured alcohol,2,6530,"bew, jv","jv:#25(6,396); bew:#38(134)"
Q1209744,Uterine cancer,2,6431,"rw, tcy","rw:#10(4,421); tcy:#14(2,010)"
Q718113,Weight loss,2,6394,"bar, lb","bar:#29(3,237); lb:#33(3,157)"
Q383027,Sushruta,2,6186,"awa, sa","sa:#6(5,766); awa:#29(420)"
Q852376,Convulsion,2,6068,"kcg, sn","sn:#19(5,307); kcg:#12(761)"
Q180507,Radiation therapy,2,6055,"an, pi","an:#34(4,969); pi:#30(1,086)"
Q86901049,COVID-19 testing,2,5605,"dag, ts","ts:#11(4,622); dag:#27(983)"
Q423071,Midazolam,2,5599,"dz, min","min:#19(5,404); dz:#5(195)"
Q1853585,Mohel,2,5516,"eo, rmy","eo:#50(5,245); rmy:#6(271)"
Q192717,Streptomycin,2,5450,"cy, rki","cy:#33(5,414); rki:#29(36)"
Q415625,Paromomycin,2,5444,"cy, nso","cy:#38(5,156); nso:#17(288)"
Q121176,Nursing,2,5409,"bew, io","io:#12(5,182); bew:#15(227)"
Q152487,Steatopygia,2,5408,"ext, ksh","ksh:#5(3,594); ext:#26(1,814)"
Q1869874,Insomnia,2,5385,"dv, zh-classical","zh-classical:#26(3,049); dv:#37(2,336)"
Q83223,Asclepius,2,5370,"co, lij","lij:#9(3,915); co:#13(1,455)"
Q269829,Placebo,2,5258,"mzn, olo","olo:#3(3,276); mzn:#29(1,982)"
Q649558,Chagas disease,2,5136,"om, ti","om:#14(3,401); ti:#15(1,735)"
Q200117,In vitro fertilisation,2,5049,"mt, ps","ps:#38(3,771); mt:#19(1,278)"
Q9687,Traffic collision,2,4614,"ksh, wa","ksh:#7(2,571); wa:#45(2,043)"
Q11343419,Rape of males,2,4465,"ary, zu","zu:#13(3,613); ary:#39(852)"
Q86913546,COVID-19 pandemic in Indonesia,2,4367,"bjn, su","su:#50(3,570); bjn:#50(797)"
Q162112,Norman Bethune,2,4261,"hsb, zh-classical","zh-classical:#16(3,752); hsb:#16(509)"
Q189553,Otorhinolaryngology,2,4033,"pi, sa","pi:#12(2,056); sa:#41(1,977)"
Q181802,Prosthesis,2,4005,"ext, mzn","mzn:#23(2,677); ext:#28(1,328)"
Q4693015,Agnes Binagwaho,2,3963,"gpe, mos","gpe:#5(3,871); mos:#2(92)"
Q836356,Croup,2,3856,"anp, gn","gn:#34(3,391); anp:#29(465)"
Q218706,Erythropoietin,2,3807,"fur, szl","szl:#9(3,249); fur:#22(558)"
Q318005,Nocturnal enuresis,2,3768,"gan, tyv","gan:#17(3,692); tyv:#49(76)"
Q356405,Bloodletting,2,3688,"bo, fiu-vro","bo:#20(2,911); fiu-vro:#48(777)"
Q111140,Endothelium,2,3686,"nds, se","nds:#36(3,306); se:#46(380)"
Q15989108,Western African Ebola epidemic,2,3680,"nah, zea","nah:#7(2,109); zea:#6(1,571)"
Q162564,Ultrasound,2,3678,"lmo, se","lmo:#25(3,011); se:#37(667)"
Q84497471,Li Wenliang,2,3576,"vo, zh-classical","zh-classical:#23(3,266); vo:#16(310)"
Q930752,Medical specialty,2,3543,"gpe, yi","yi:#40(3,204); gpe:#48(339)"
Q17593925,Ameyo Adadevoh,2,3485,"ff, pcm","pcm:#3(3,314); ff:#24(171)"
Q152596,Pacifier,2,3397,"ksh, szl","szl:#11(2,486); ksh:#14(911)"
Q165328,Osteoporosis,2,3373,"dv, mad","dv:#19(3,064); mad:#19(309)"
Q774306,Surgeon,2,3205,"arc, mt","arc:#15(2,481); mt:#27(724)"
Q166376,Doping in sport,2,3102,"pms, vls","vls:#15(1,616); pms:#28(1,486)"
Q33226,Speech–language pathology,2,3012,"kaa, li","li:#49(2,914); kaa:#37(98)"
Q183257,Psychotherapy,2,2864,"hyw, kbp","kbp:#20(1,688); hyw:#26(1,176)"
Q1471642,Micropenis,2,2753,"rn, zu","zu:#20(2,560); rn:#25(193)"
Q3896379,Paronychia,2,2696,"ace, csb","ace:#9(1,881); csb:#29(815)"
Q211346,Psychiatrist,2,2645,"jbo, srn","jbo:#17(1,545); srn:#3(1,100)"
Q87058723,COVID-19 pandemic in Morocco,2,2599,"ary, shi","ary:#18(1,824); shi:#10(775)"
Q62736,Osteoarthritis,2,2440,"lij, se","lij:#28(1,427); se:#22(1,013)"
Q842811,Dietitian,2,2439,"diq, szy","diq:#38(2,049); szy:#40(390)"
Q165135,Goitre,2,2382,"pam, szy","pam:#30(2,112); szy:#47(270)"
Q654426,Psychological trauma,2,2371,"ary, eml","ary:#21(1,309); eml:#40(1,062)"
Q57089,Paul Ehrlich,2,2351,"gd, szl","gd:#45(1,322); szl:#23(1,029)"
Q209789,Belching,2,2306,"kcg, nds-nl","nds-nl:#18(1,712); kcg:#18(594)"
Q615057,Anesthesiology,2,2287,"gom, pi","pi:#29(1,178); gom:#17(1,109)"
Q3525265,Ministry of Health and Family Welfare,2,2255,"awa, bh","bh:#44(2,079); awa:#32(176)"
Q271993,Hyperglycemia,2,2203,"kcg, pam","pam:#42(1,569); kcg:#16(634)"
Q152234,Edema,2,2198,"hif, ksh","ksh:#11(1,770); hif:#48(428)"
Q185557,Excretion,2,2185,"ki, pam","pam:#37(1,772); ki:#9(413)"
Q804521,Bacterial vaginosis,2,2159,"rki, ti","ti:#14(2,132); rki:#43(27)"
Q49325,Albert Schweitzer,2,2121,"ie, yo","yo:#39(1,604); ie:#16(517)"
Q495146,Trichinosis,2,2100,"km, lij","km:#44(1,710); lij:#46(390)"
Q85438966,SARS-CoV-1,2,2100,"kab, ug","kab:#34(1,519); ug:#41(581)"
Q208376,Positron emission tomography,2,2093,"hak, ks","hak:#50(1,388); ks:#19(705)"
Q245341,Radiography,2,2054,"ks, nrm","nrm:#10(1,620); ks:#34(434)"
Q179399,Infertility,2,2042,"szy, zu","zu:#29(1,618); szy:#38(424)"
Q178061,Shock (circulatory),2,2015,"lij, ug","lij:#33(1,222); ug:#31(793)"
Q216685,Orthopedic surgery,2,1996,"kaa, pi","pi:#19(1,821); kaa:#28(175)"
Q1549428,Steatorrhea,2,1907,"mwl, pam","pam:#43(1,492); mwl:#28(415)"
Q558075,Sexual violence,2,1785,"bew, mai","mai:#21(1,293); bew:#3(492)"
Q4927787,Blood blister,2,1737,"nds-nl, vls","nds-nl:#24(1,165); vls:#22(572)"
Q162339,Stethoscope,2,1722,"csb, hsb",csb:#28(888); hsb:#10(834)
Q552461,Hand washing,2,1679,"bjn, crh","bjn:#36(1,524); crh:#10(155)"
Q161566,Symphytum,2,1675,"hsb, os","os:#16(1,255); hsb:#18(420)"
Q321458,Sun tanning,2,1460,"gan, vep",vep:#29(761); gan:#34(699)
Q1058438,Risk assessment,2,1433,"ext, se",ext:#33(793); se:#38(640)
Q1774784,Clitoromegaly,2,1391,"mad, zu","zu:#35(1,192); mad:#38(199)"
Q182899,Quarantine,2,1382,"nds-nl, pap",nds-nl:#30(741); pap:#34(641)
Q179630,Syndrome,2,1374,"ary, fj",ary:#40(829); fj:#14(545)
Q8285,Myasthenia gravis,2,1337,"pms, zea",zea:#9(808); pms:#49(529)
Q845787,Histrionic personality disorder,2,1335,"mzn, tcy",mzn:#48(832); tcy:#37(503)
Q1054718,Kidney disease,2,1326,"nqo, tw",nqo:#8(759); tw:#39(567)
Q192692,Nightmare,2,1311,"arc, tok","arc:#30(1,293); tok:#20(18)"
Q207092,Erysipelas,2,1294,"csb, os",csb:#25(968); os:#30(326)
Q220551,Diabetes insipidus,2,1293,"lij, rw",rw:#45(829); lij:#45(464)
Q309035,Deodorant,2,1246,"bew, iba","iba:#2(1,052); bew:#17(194)"
Q105943,Pus,2,1241,"kbp, roa-rup",roa-rup:#25(903); kbp:#44(338)
Q4902157,MERS-related coronavirus,2,1239,"ks, lo",ks:#17(755); lo:#29(484)
Q2915349,Neurodiversity,2,1223,"jbo, skr","jbo:#19(1,148); skr:#24(75)"
Q183605,Blood transfusion,2,1222,"fur, gom","gom:#16(1,124); fur:#27(98)"
Q3315316,Ministry of Health (Morocco),2,1093,"ary, shi",ary:#49(582); shi:#13(511)
Q549378,Body louse,2,1060,"ban, csb",csb:#34(741); ban:#37(319)
Q235693,Menstrual pad,2,995,"bjn, tyv",bjn:#47(891); tyv:#48(104)
Q1667685,Gas stove,2,994,"csb, szy",csb:#31(759); szy:#48(235)
Q186889,Nausea,2,990,"myv, tw",myv:#24(551); tw:#47(439)
Q31173413,Bulantrisna Djelantik,2,967,"ban, dtp",ban:#23(829); dtp:#9(138)
Q178266,Herbicide,2,927,"mdf, tyv",tyv:#37(855); mdf:#22(72)
Q754396,Gas mask,2,924,"bew, szl",szl:#32(803); bew:#42(121)
Q172341,Ovarian cancer,2,850,"mad, tcy",tcy:#34(677); mad:#50(173)
Q182180,Yawn,2,794,"lld, nap",nap:#17(631); lld:#11(163)
Q7758678,Nyctalopia,2,787,"csb, shi",csb:#45(456); shi:#18(331)
Q468771,Ascaris lumbricoides,2,774,"ks, szy",ks:#33(438); szy:#43(336)
Q349185,Wrinkle,2,773,"se, syl",se:#40(559); syl:#2(214)
Q28091751,Agnes Yewande Savage,2,729,"ff, ig",ig:#48(554); ff:#23(175)
Q1364801,Sleep deprivation,2,728,"iba, trv",trv:#8(706); iba:#26(22)
Q184630,Potassium chloride,2,713,"av, gv",av:#19(529); gv:#30(184)
Q324634,Mammography,2,688,"ks, se",ks:#50(352); se:#48(336)
Q202758,Hypoglycemia,2,635,"szy, tw",tw:#50(419); szy:#50(216)
Q278515,Galactorrhea,2,612,"glk, mad",mad:#15(333); glk:#10(279)
Q179951,Strabismus,2,579,"ce, gan",ce:#45(412); gan:#38(167)
Q162784,Ephedra distachya,2,539,"co, hsb",hsb:#20(303); co:#23(236)
Q375620,Petasites hybridus,2,511,"co, csb",csb:#44(462); co:#26(49)
Q230299,Nellie Bly,2,448,"kw, skr",kw:#34(396); skr:#32(52)
Q318192,Robert Recorde,2,445,"kw, pcd",pcd:#14(267); kw:#45(178)
Q1494682,Heavy menstrual bleeding,2,438,"mad, mwl",mwl:#33(262); mad:#48(176)
Q3174392,Human feces,2,399,"rn, zgh",zgh:#7(289); rn:#26(110)
Q12421818,Injury,2,398,"fj, ve",ve:#5(275); fj:#22(123)
Q24939367,Rukhmabai,2,394,"anp, skr",anp:#34(326); skr:#27(68)
Q116857938,Toyin Ajayi,2,369,"ff, tn",tn:#13(279); ff:#48(90)
Q958057,Vilma Hugonnai,2,358,"myv, tyv",myv:#34(183); tyv:#46(175)
